NBTB
LATEST_ANNOUNCEMENT_DT
4/19/1996
7/23/1996
10/8/1996
1/21/1997
4/8/1997
7/7/1997
10/7/1997
1/16/1998
4/8/1998
7/14/1998
10/13/1998
1/26/1999
4/14/1999
7/16/1999
10/19/1999
1/24/2000
4/24/2000
7/24/2000
10/23/2000
1/22/2001
4/23/2001
7/23/2001
10/22/2001
1/23/2002
4/22/2002
7/22/2002
10/29/2002
1/27/2003
4/28/2003
7/28/2003
10/27/2003
1/26/2004
4/26/2004
7/26/2004
10/25/2004
1/24/2005
4/25/2005
7/25/2005
10/24/2005
1/24/2006
4/24/2006
7/24/2006
10/23/2006
1/22/2007
4/23/2007
7/23/2007
10/22/2007
1/15/2008
4/28/2008
7/28/2008
10/27/2008
1/26/2009
4/27/2009
7/27/2009
10/26/2009
1/25/2010
4/26/2010
7/26/2010
10/25/2010
1/25/2011
4/26/2011
7/25/2011
10/24/2011
1/23/2012
4/23/2012
7/23/2012
10/22/2012
1/28/2013
4/22/2013
7/22/2013
10/28/2013
1/27/2014
4/28/2014
7/28/2014
10/27/2014
1/26/2015
4/27/2015
7/27/2015
10/26/2015
1/25/2016
04/25/2016
07/25/2016
10/24/2016
01/23/2017
04/24/2017
