TCSI
LATEST_ANNOUNCEMENT_DT
4/17/1996
7/18/1996
10/16/1996
1/23/1997
4/17/1997
7/16/1997
10/15/1997
1/29/1998
4/16/1998
7/16/1998
10/14/1998
2/5/1999
4/15/1999
7/20/1999
11/2/1999
4/26/2000
7/25/2000
10/24/2000
2/6/2001
4/23/2001
7/24/2001
10/22/2001
3/14/2002
4/23/2002
8/14/2002
11/1/2002
